question,answer,nhops,base_question,cypher,neo4j_response,evaluation,evaluation_error
what words describe film [Midnight in Paris],comedy|fantasy|paris|woody allen|owen wilson|rachel mcadams|adrien brody|nostalgia|marion cotillard|kathy bates,1,what words describe film [],"MATCH (m:movie {name: ""Midnight in Paris""})-[:has_tags]->(t:tag) RETURN t.name","[{'t.name': 'kathy bates'}, {'t.name': 'marion cotillard'}, {'t.name': 'nostalgia'}, {'t.name': 'adrien brody'}, {'t.name': 'rachel mcadams'}, {'t.name': 'owen wilson'}, {'t.name': 'woody allen'}, {'t.name': 'paris'}, {'t.name': 'fantasy'}, {'t.name': 'comedy'}]",matched,
what year was the movie [Gardenia] released,1979,1,what year was the movie [] released,"MATCH (m:movie {name: ""Gardenia""})-[:release_year]->(y:year)
RETURN y.name",[{'y.name': '1979'}],matched,
who is the creator of the film script for [Harishchandrachi Factory],Paresh Mokashi,1,who is the creator of the film script for [],"MATCH (m:movie {name: ""Harishchandrachi Factory""})-[:written_by]->(w:writer)
RETURN w.name as Creator",[{'Creator': 'Paresh Mokashi'}],matched,
what is a film written by [Tony Palmer],200 Motels|The Space Movie,1,what is a film written by [],"MATCH (w:writer {name: ""Tony Palmer""})-[:written_by]-(m:movie) RETURN m.name","[{'m.name': '200 Motels'}, {'m.name': 'The Space Movie'}]",matched,
what was the genre of the film [McQ],Drama|Crime,1,what was the genre of the film [],"MATCH (m:movie {name: ""McQ""})-[:has_genre]->(g:genre) RETURN g.name;","[{'g.name': 'Drama'}, {'g.name': 'Crime'}]",matched,
the movie [The Wizard of Baghdad] starred who,Diane Baker|Dick Shawn,1,the movie [] starred who,"MATCH (m:movie {name: ""The Wizard of Baghdad""})-[:starred_actors]->(a:actor) RETURN a.name","[{'a.name': 'Dick Shawn'}, {'a.name': 'Diane Baker'}]",matched,
what was the release year of [The Hireling],1973,1,what was the release year of [],"MATCH (m:movie {name: ""The Hireling""})-[:release_year]->(y:year) RETURN y.name",[{'y.name': '1973'}],matched,
what genre is [White of the Eye] in,Thriller,1,what genre is [] in,"MATCH (m:movie {name: ""White of the Eye""})-[:has_genre]->(g:genre) RETURN g.name",[{'g.name': 'Thriller'}],matched,
what was the release date of the movie [Coral Reef Adventure],2003,1,what was the release date of the movie [],"MATCH (m:movie {name: ""Coral Reef Adventure""})-[:release_year]->(y:year) RETURN y.name;",[{'y.name': '2003'}],matched,
who is the director for [Buffalo '66],Vincent Gallo,1,who is the director for [],"MATCH (m:movie {name: ""Buffalo '66""})-[:directed_by]->(d:director) RETURN d.name;",[{'d.name': 'Vincent Gallo'}],matched,
